Longitude,Latitude,fid,CEC,Elevation,Slope,Aspect,Curvature,TWI,TPI,SR_L,NR_L,Treatment,NDVI_20170407,NDVI_20170507,NDVI_20170611,NDVI_20170701,NDVI_20170717,NDVI_20170819,NDVI_20170901,NDVI_20170916,NDVI_20170929,Yield
417182,4654770,56756,19.4751197,869.8990682,0.067124967,5.612174511,0.011559733,5.937288125,0.025095053,A,A,AA,0.171204821,0.153329362,0.338691037,0.768674744,0.823225536,0.814731727,0.751834293,0.477060538,0.327579008,12878.48057
416441,4654767,56790,32.8545901,877.2912937,0.027495841,4.03298378,0.008662136,6.100291252,0.018084571,C,C,CC,0.208608131,0.186316019,0.379249494,0.8026328,0.857876385,0.838405129,0.808464083,0.569888987,0.372000438,14441.26774
416519,4654767,56816,33.61238395,876.8105062,0.028009728,0.520340065,-0.000801145,5.280168056,0.139992024,D,D,DD,0.206297003,0.165475951,0.327968417,0.80353384,0.856081829,0.849397333,0.798406857,0.535992944,0.351553238,15863.21721
416471,4654767,56800,30.28129005,877.641649,0.029549116,2.9877069,-0.002901935,5.33540678,0.073497653,D,D,DD,0.211719418,0.167990838,0.38958789,0.82145373,0.851370335,0.846145021,0.807151991,0.5412248,0.356421111,15605.62369
416771,4654773,56339,30.74696075,875.8878716,0.038755242,1.570796371,-0.011391521,7.285587311,0.002351855,A,A,AA,0.200291209,0.181281688,0.306422472,0.782489554,0.854963091,0.828691636,0.799379809,0.57146971,0.391046684,15257.5928
416732,4654773,56326,26.0606166,877.349806,0.024238173,1.570796371,-0.007612433,7.161440849,0.037811816,A,A,AA,0.205665974,0.171183019,0.30440541,0.768826317,0.854417829,0.841716263,0.7892027,0.559351641,0.35741213,14087.06527
416843,4654773,56363,35.79598914,873.3057522,0.028292689,1.570796371,-0.008373798,8.527198792,0.036489421,D,B,DB,0.20138234,0.16427241,0.353903892,0.801960881,0.866986813,0.855635093,0.800229153,0.563782973,0.38108627,16218.85981
416954,4654773,56400,34.81789229,871.2763604,0.023181661,5.743395329,-0.001287606,5.310848872,0.051780338,B,D,BD,0.189182681,0.165434315,0.363453543,0.816769009,0.85382437,0.846569769,0.801109288,0.55948286,0.372579041,16270.4234
416951,4654773,56399,35.22170003,871.2063666,0.019121302,5.643436909,-0.002793724,5.570090294,0.038236134,B,C,BC,0.182506297,0.16362828,0.357736935,0.821538834,0.855398966,0.848959372,0.804651409,0.558365396,0.377896345,16319.51777
417071,4654773,56439,26.29602983,873.0957777,0.026614416,3.817667484,0.006843862,5.92207098,0.022784667,B,B,BB,0.20217729,0.146040531,0.331547699,0.803026981,0.863018416,0.844190266,0.812736209,0.623413619,0.407972496,16010.47096
417158,4654773,56468,19.5050034,869.0895521,0.032265508,1.366107951,-0.011350853,8.875338554,-0.219933341,A,A,AA,0.17995549,0.167456278,0.370538162,0.809480002,0.847590623,0.830860766,0.77962446,0.526826901,0.334967268,15237.57224
417101,4654773,56449,23.87084622,872.3538547,0.082298793,2.501724005,-0.011476835,4.942818165,0.073532224,B,B,BB,0.201378603,0.167809415,0.344746223,0.813811267,0.85858704,0.840185531,0.811480479,0.612997155,0.396252929,16534.17721
416540,4654770,56542,32.82459937,876.8576253,0.004224073,4.701760411,0.003671259,6.439798514,0.059823566,A,B,AB,0.215813699,0.154451683,0.368649139,0.793697914,0.855472648,0.842951687,0.806497167,0.585248875,0.389245423,15761.36034
416624,4654770,56570,28.93801647,876.5396457,0.02046143,4.623626444,0.005880046,6.994496028,0.038855111,B,A,BA,0.202298488,0.168774758,0.367761661,0.808987035,0.852433468,0.837281801,0.778165042,0.477501743,0.343205251,14132.92736
416579,4654770,56555,30.90723589,875.8451267,0.020324429,1.355830961,-0.007095346,11.9617193,-0.096418217,A,B,AB,0.198830676,0.162857571,0.388692361,0.818030869,0.853285635,0.844252276,0.807012852,0.587350748,0.355742272,16190.84893
416567,4654764,57114,30.99639659,876.0117052,0.033266574,2.085558414,-0.009439981,8.255246957,-0.050965757,B,D,BD,0.186850301,0.15762593,0.387281469,0.818903911,0.848519916,0.845023285,0.807726364,0.599465677,0.373414904,16718.1659
416519,4654764,57098,33.19574865,876.9642809,0.01839704,1.147927688,-0.002395111,6.29351494,0.076702268,D,D,DD,0.203596327,0.156088922,0.328886804,0.804656608,0.85920771,0.851439366,0.799114022,0.544255157,0.356897582,15620.19142
416675,4654764,57150,25.3094173,877.4166667,0.023671866,3.311971505,0.001749348,6.092204094,0.095977346,A,B,AB,0.213884786,0.147635743,0.362086848,0.802710734,0.850813572,0.841047372,0.789075048,0.528883789,0.336143316,14609.96591
416588,4654764,57121,29.98628616,875.8684557,0.039569377,5.89211252,0.000171138,9.035721885,-0.124863488,B,D,BD,0.183815251,0.168919639,0.367190702,0.815616442,0.857456142,0.844506379,0.801246044,0.55518747,0.34436297,15483.57834
416732,4654764,57169,26.40164524,876.9182536,0.049402842,2.65233469,-0.006304763,5.426027298,0.109796872,B,A,BA,0.207404879,0.171811611,0.357932075,0.799418833,0.855583795,0.84173,0.784971982,0.551121622,0.343767823,14504.21501
416696,4654764,57157,24.50531175,877.4746297,0.037410554,3.280364752,0.001505377,5.06837527,0.104046419,A,B,AB,0.187228858,0.173332829,0.333660646,0.788522941,0.852760194,0.835990034,0.789396979,0.536436796,0.356382779,14397.39178
416846,4654764,57207,36.76657528,873.0170695,0.038655004,2.058252295,-0.010012868,6.376994292,0.179843587,D,B,DB,0.175189895,0.148162795,0.36650745,0.817094766,0.85286939,0.850955413,0.796418594,0.557863516,0.36011921,15587.84687
416951,4654764,57242,36.2962443,871.4473877,0.015740502,4.702433586,0.003272743,6.846659184,0.047045865,B,C,BC,0.171009705,0.1738058,0.382071479,0.812064376,0.858155806,0.845946984,0.795992804,0.518815725,0.364230984,14585.22165
416906,4654764,57227,37.60242505,871.3442722,0.026969411,2.574433088,-0.004146625,8.353266398,0.060603125,B,C,BC,0.207527054,0.162100863,0.38895086,0.822478313,0.848726589,0.85156519,0.797651796,0.535919897,0.34376003,15926.01177
417062,4654764,57279,27.43205918,873.0669963,0.029169727,4.523902257,0.009891539,5.59118096,0.125641013,B,B,BB,0.212790841,0.152802992,0.335519581,0.801528553,0.855685232,0.842001955,0.79894092,0.608461316,0.429459828,16236.24937
416972,4654764,57249,33.88345464,871.7647163,0.013384573,4.727079233,0.00473462,7.078438282,0.035762729,B,D,BD,0.171975569,0.142872907,0.344064364,0.807225399,0.859182262,0.846823881,0.798498582,0.525472808,0.37224663,16278.33667
417128,4654764,57301,20.54326057,870.6017049,0.067545531,1.828021328,-0.019287125,6.259987725,-0.010324392,A,A,AA,0.198161638,0.163782811,0.360506852,0.800634089,0.849052949,0.834897741,0.780837644,0.479753595,0.338484222,13410.54991
417077,4654764,57284,25.0161438,873.1679959,0.015980661,3.13845547,0.003023095,6.383578936,0.079955269,B,B,BB,0.206778489,0.166984311,0.327042105,0.80595482,0.856685725,0.842997991,0.79982678,0.57341786,0.375754615,15521.11623
417179,4654764,57318,18.67931133,870.1188422,0.057544766,5.209504286,0.012401272,5.840346071,0.088862089,A,A,AA,0.193972058,0.151441142,0.350019171,0.771687043,0.835216734,0.818336384,0.750286536,0.460895357,0.328927105,12203.70206
416567,4654767,56832,31.29654884,876.1239827,0.038448308,2.017868042,-0.009439981,5.772735119,0.029240038,B,C,BC,0.188803362,0.156479516,0.391800906,0.822546494,0.847229545,0.84422341,0.805400821,0.58653161,0.372362126,16689.44651
416663,4654767,56864,26.27565257,877.3241645,0.020365928,4.142371972,0.004407536,6.02366511,0.104735871,B,A,BA,0.200421081,0.167351268,0.357987424,0.806698272,0.851874016,0.836557751,0.781553134,0.500703043,0.315353904,13378.86493
416810,4654767,56913,35.13704766,874.0247599,0.041320622,2.047679424,-0.010219275,6.212105274,0.127032816,D,B,DB,0.200287148,0.17189507,0.340940721,0.809625607,0.853767527,0.850586377,0.805589747,0.625585135,0.390937548,16799.50415
416777,4654767,56902,32.13115904,875.4016859,0.044867959,1.928867221,-0.011985821,5.82513237,0.14669092,A,A,AA,0.206348398,0.15635771,0.327448414,0.781140779,0.849987598,0.816704299,0.793665204,0.544536689,0.383492084,14587.91297
416861,4654767,56930,36.16415448,872.3327162,0.047779072,1.709691286,-0.009373921,7.503614902,0.018181544,D,B,DB,0.191665252,0.170999276,0.375320748,0.815252284,0.862621045,0.847917011,0.801134688,0.502520341,0.345720376,15012.69709
417008,4654767,56979,32.02273835,872.1330092,0.001530832,1.570796371,-0.001535613,6.534938018,0.073630015,B,D,BD,0.213352688,0.169605897,0.289441518,0.746545043,0.860051358,0.840395269,0.796417035,0.551240285,0.363784415,15001.42187
417122,4654767,57017,21.57108858,871.0731676,0.070679717,2.023790598,-0.019635785,6.756416798,-0.10841611,B,B,BB,0.183054026,0.142987013,0.349373859,0.807101344,0.860127427,0.835842952,0.780310771,0.487628009,0.334820764,13882.15743
417080,4654767,57003,24.86141184,873.2369588,0.021404231,2.848794699,0.000544562,7.123117924,-0.004451856,B,B,BB,0.197991729,0.162705579,0.324003068,0.805035688,0.849863717,0.845341115,0.804596744,0.576240563,0.370849689,15606.69459
417182,4654767,57037,19.06107691,870.0862155,0.061997917,5.517608166,0.012666684,5.488520145,0.129576564,A,A,AA,0.183005668,0.160352207,0.338848543,0.77260238,0.827238768,0.817772682,0.752545222,0.471939041,0.333578089,12683.03297
416483,4654764,57086,30.72983805,877.4455905,0.026937436,2.60075487,-0.006069967,5.542857064,0.02979694,D,D,DD,0.206724781,0.16971758,0.404191834,0.826352548,0.854660019,0.84709185,0.803438684,0.519597659,0.34487802,15607.18991
416969,4654782,55571,32.29841148,871.447781,0.014058277,4.452332815,0.003111545,7.489074389,-0.052172918,B,D,BD,0.179850544,0.1574065,0.364662779,0.800030915,0.857079391,0.850814313,0.804417038,0.577016875,0.399104572,15224.65539
416927,4654782,55557,36.55535973,871.5353868,0.043061882,2.707932234,-0.006834993,7.515068531,0.07162822,B,C,BC,0.177509962,0.175173999,0.371575583,0.814173775,0.858091342,0.843712643,0.809619147,0.552459661,0.353178767,15185.46473
417059,4654782,55601,28.60146523,872.6392551,0.054460853,4.712388992,0.013191305,5.617897193,0.047526951,C,C,CC,0.220673517,0.167916178,0.358248335,0.811590742,0.864812574,0.843020502,0.806794267,0.648081369,0.449941857,17116.99941
417185,4654782,55643,22.24235577,869.7641466,0.044088196,5.393676758,0.008886753,6.741394997,0.025662402,A,B,AB,0.201880809,0.171696703,0.352883772,0.769672878,0.825881163,0.822888108,0.761062143,0.51828313,0.336641651,13152.63127
417107,4654782,55617,24.76971308,872.6665582,0.054528654,1.570796371,-0.015578229,5.54145813,0.138624221,D,C,DC,0.199499199,0.15904113,0.344461834,0.80573395,0.859370542,0.844872627,0.811304846,0.602749737,0.380237818,16633.90926
417209,4654782,55651,25.22685454,870.371894,0.086352763,5.254829566,0.012586888,5.783177694,-0.043338215,A,B,AB,0.197160585,0.169052393,0.299525157,0.696169374,0.816034307,0.815729949,0.771066656,0.551433676,0.365604082,13075.17966
416507,4654779,55694,34.02976905,875.9332886,0.099457284,0.496544302,-0.015052529,5.335064093,0.120035055,C,B,CB,0.186220159,0.158970714,0.35505933,0.823291817,0.858062685,0.847576418,0.813904393,0.552356162,0.357482569,15466.27257
416603,4654779,55726,30.64859178,875.7952135,0.030930438,5.056483799,0.007029766,8.687175539,-0.018569228,A,B,AB,0.179997617,0.15381915,0.355639592,0.810053427,0.856124657,0.842755917,0.80096742,0.542884747,0.347598726,15294.10357
416720,4654779,55765,25.27616268,877.4614461,0.01848559,1.947223743,-0.004628724,7.100898584,0.016550326,A,A,AA,0.218971299,0.164903057,0.288676608,0.739012905,0.854601533,0.840617457,0.790179851,0.554320101,0.368058997,13407.99577
